LaMoFC,,,,,,,,,,,
5,,,10,,,15,,,20,,
lmbda,BPFP,Acc@1,lmbda,BPFP,Acc@1,lmbda,BPFP,Acc@1,lmbda,BPFP,Acc@1
0.001,0.3006,0.21%,0.001,0.2029,0.20%,0.001,0.2096,0.00%,0.001,0.1913,0.00%
0.002,0.3709,0.00%,0.002,0.4265,0.21%,0.01,0.6617,1.34%,0.01,0.6627,1.58%
0.003,0.9487,9.19%,0.003,0.5613,3.27%,0.02,1.7794,2.75%,0.02,0.8825,13.84%
0.005,1.3295,11.89%,0.005,1.3437,24.17%,0.03,2.1201,2.60%,0.03,1.1091,15.31%
0.007,1.6008,12.83%,0.007,1.5833,27.39%,0.05,2.584,1.08%,0.05,1.3699,9.77%
0.01,1.876,10.11%,0.01,1.8654,29.83%,0.07,2.8497,1.69%,0.07,1.9562,25.94%
0.1,3.7763,12.90%,0.1,3.8318,32.70%,0.1,3.1613,1.49%,0.1,1.7632,20.45%
1,5.4494,10.47%,1,5.4611,32.05%,1,3.3121,0.66%,1,2.7308,7.39%
VTM,,,,,,,,,,,
5,,,10,,,15,,,20,,
Qp,BPFP,Acc@1,Qp,BPFP,Acc@1,Qp,BPFP,Acc@1,Qp,BPFP,Acc@1
20,1.3822,79.20%,12,2.314714,81.00%,0,0.825578,76.00%,0,2.0628,81.00%
22,0.977,77.40%,17,1.441465,79.40%,2,0.459572,71%,2,1.6841,81.40%
25,0.328,56.60%,22,0.4301,75.20%,5,0.156311,51.60%,5,1.0987,81.80%
27,0.178,31.20%,25,0.1481,31.00%,7,0.084746,34.00%,7,0.6935,78.00%
32,0.047,0.00%,27,0.0841,9.60%,10,0.036977,7.60%,10,0.251,62.40%
37,0.013,0.20%,30,0.0351,0.60%,12,0.021431,1.00%,12,0.1219,40.80%
,,,32,0.0196,0.00%,22,0.006,0.00%,17,0.028716,12.40%
,,,35,0.0091,0.00%,25,0.0049,0.00%,22,0.008629,0.60%
OPQ,,,,,,,,,,,
5,,,10,,,15,,,20,,
config,BPFP,Acc@1,config,BPFP,Acc@1,config,BPFP,Acc@1,config,BPFP,Acc@1
"K=4, e32, ¦Ë=0.5",0.0625,15.00%,"K=4, e32, ¦Ë=0.5",0.0625,2.00%,"K=4, e32, ¦Ë=0.5",0.0625,20.20%,"K=4, e32, ¦Ë=0.5",0.0625,12.20%
"K=8, e32, ¦Ë=0.5",0.0938,54.80%,"K=8, e32, ¦Ë=0.5",0.0938,45.60%,"K=8, e32, ¦Ë=0.5",0.0938,40.60%,"K=8, e32, ¦Ë=0.5",0.0938,24.60%
