LaMoFC,,,,,,,,
lmbda,BPFP,Acc@1,lmbda,BPFP,Acc@1,lmbda,BPFP,Acc@1
0.001,0.0005,0.20%,0.001,0.0049,0.00%,0.001,0.1398,0.00%
0.01,0.2232,0.00%,0.01,0.2731,0.23%,0.01,0.8735,4.98%
0.1,0.7698,0%,0.1,1.1146,0%,0.02,0.9617,21%
1,1.5064,0.00%,1,2.3883,9.05%,0.03,0.9769,28.85%
,,,,,,0.05,1.5409,47.90%
,,,,,,0.07,1.6769,47.65%
,,,,,,0.1,1.9035,47.30%
,,,,,,1,2.7111,34.60%
VTM,,,,,,,,
9,,,19,,,29,,
Qp,BPFP,Acc@1,Qp,BPFP,Acc@1,Qp,BPFP,Acc@1
12,2.339,99.80%,12,1.287,98.80%,0,1.122,98.20%
17,1.435,99.60%,15,0.663,97.60%,2,0.674,96.60%
22,0.477,96.80%,17,0.329,94.80%,5,0.241,81%
25,0.182,85.60%,20,0.111,54.80%,7,0.115,60.40%
27,0.099,65.40%,22,0.058,11.80%,10,0.041,24.60%
30,0.038,6.80%,32,0.003,0.00%,12,0.021,10.60%
32,0.02,0.00%,,,,22,0.004,0.20%
OPQ,,,,,,,,
9,,,19,,,29,,
config,BPFP,Acc@1,config,BPFP,Acc@1,config,BPFP,Acc@1
"K=4, e32",0.0625,89.60%,"K=4, e32",0.0625,90.20%,"K=4, e32",0.0625,28.80%
"K=8, e32",0.0938,93.80%,"K=8, e32",0.0938,95.80%,"K=8, e32",0.0938,81.40%
"K=16, e32",0.125,95.80%,"K=16, e32",0.125,97.00%,"K=16, e32",0.125,91.00%
"K=64, e32",0.1875,97.80%,"K=64, e32",0.1875,98.80%,"K=64, e32",0.1875,95.80%
"K=256, e32",0.25,98.20%,"K=256, e32",0.25,99.20%,"K=256, e32",0.25,97.40%
"K=64, e16",0.375,99.20%,"K=64, e16",0.375,99.80%,"K=64, e16",0.375,97.60%
Ours,,,,,,,,
9,,,19,,,29,,
config,BPFP,Acc@1,config,BPFP,Acc@1,config,BPFP,Acc@1
"K=4, e32, ¦Ë=0.5",0.0603,97.40%,"K=4, e32, ¦Ë=0.5",0.0605,97.60%,"K=4, e32, ¦Ë=0.5",0.0616,95.60%
"K=8, e32, ¦Ë=0.5",0.0902,97.80%,"K=8, e32, ¦Ë=0.5",0.092,98.80%,"K=8, e32, ¦Ë=0.5",0.0929,96.20%
"K=16, e32, ¦Ë=0.5",0.1207,99.00%,"K=16, e32, ¦Ë=0.5",0.1231,99.40%,"K=16, e32, ¦Ë=0.5",0.1241,97.80%
"K=64, e32, ¦Ë=0.5",0.1808,99.20%,"K=64, e32, ¦Ë=0.5",0.1849,99.40%,"K=64, e32, ¦Ë=0",0.1853,98.00%
"K=256, e32, ¦Ë=0.5",0.239,99.20%,"K=256, e32, ¦Ë=0.5",0.2442,99.40%,"K=256, e32, ¦Ë=0, lr=5e-4",0.2462,98.80%
"K=64, e16, ¦Ë=0.5",0.3545,99.00%,"K=64, e16, ¦Ë=0.5",0.3585,99.60%,"K=64, e16, ¦Ë=0.5",0.3222,98.40%
