LaMoFC,,,,,,,,
9,,,19,,,29,,
Qp,BPFP,mIoU,Qp,BPFP,mIoU,Qp,BPFP,mIoU
0.001,0.0001,3.36%,0.001,0.0001,2.60%,0.003,0.0249,3.19%
0.01,0.1677,3.43%,0.01,0.1513,26.93%,0.005,0.243,47.33%
0.03,0.2549,11.66%,0.02,0.3467,48.89%,0.01,0.2643,51.16%
0.05,0.5541,34.18%,0.03,0.6095,66.42%,0.02,0.4819,55.88%
0.07,0.9746,65.27%,0.05,1.2178,80.12%,0.03,1.1004,71.31%
0.1,1.234,65.96%,0.07,1.4333,75.95%,0.05,1.4536,76.34%
1,2.6542,84.31%,0.1,1.664,79.47%,0.07,1.6646,70.61%
,,,1,3.0013,77.80%,0.1,1.8787,76.11%
,,,,,,1,3.2154,73.65%
VTM,,,,,,,,
9,,,19,,,29,,
Qp,BPFP,mIoU,Qp,BPFP,mIoU,Qp,BPFP,mIoU
12,1.913468,83.39%,12,0.941749,83.54%,0,0.956295,83.16%
17,0.970162,83.21%,15,0.436103,83.23%,2,0.580551,82.31%
22,0.262683,81.59%,17,0.236291,81.68%,5,0.235567,78.45%
25,0.111093,70.32%,20,0.085528,65.45%,7,0.122614,72.52%
27,0.061584,48.23%,22,0.040251,38.21%,10,0.036221,52.91%
30,0.024848,9.49%,32,0.001215,3.28%,12,0.016681,35.90%
32,0.013131,4.72%,,,,22,0.001341,2.97%
OPQ,,,,,,,,
9,,,19,,,29,,
config,BPFP,mIoU,config,BPFP,mIoU,config,BPFP,mIoU
"K=4, e32",0.0625,78.55%,"K=4, e32",0.0625,79.42%,"K=4, e32",0.0625,24.96%
"K=8, e32",0.0938,81.24%,"K=8, e32",0.0938,81.83%,"K=8, e32",0.0938,57.45%
"K=16, e32",0.125,82.09%,"K=16, e32",0.125,82.20%,"K=16, e32",0.125,72.14%
"K=64, e32",0.1875,82.25%,"K=64, e32",0.1875,82.60%,"K=64, e32",0.1875,77.17%
"K=256, e32",0.25,82.54%,"K=256, e32",0.25,82.71%,"K=256, e32",0.25,80.50%
"K=64, e16",0.375,82.60%,"K=64, e16",0.375,82.78%,"K=64, e16",0.375,80.92%
Ours,,,,,,,,
9,,,19,,,29,,
config,BPFP,mIoU,config,BPFP,mIoU,config,BPFP,mIoU
"K=4, e32, ¦Ë=0.5",0.0599,82.22%,"K=4, e32, ¦Ë=0.5",0.0602,83.13%,"K=4, e32, ¦Ë=0.5",0.0616,79.75%
"K=8, e32, ¦Ë=0.5",0.09,82.92%,"K=8, e32, ¦Ë=0.5",0.0918,83.43%,"K=8, e32, ¦Ë=0.5",0.0928,80.80%
"K=16, e32, ¦Ë=0.5",0.1206,83.06%,"K=16, e32, ¦Ë=0.5",0.1232,83.22%,"K=16, e32, ¦Ë=0.5",0.1242,81.38%
"K=64, e32, ¦Ë=0",0.1798,83.25%,"K=64, e32, ¦Ë=0",0.1852,83.43%,"K=64, e32, ¦Ë=0.5",0.184,81.93%
"K=256, e32, ¦Ë=0, lr=5e-4",0.2359,83.16%,"K=256, e32, ¦Ë=0, lr=5e-4",0.2448,83.48%,"K=256, e32, ¦Ë=0, lr=5e-4",0.2442,82.50%
"K=64, e16, ¦Ë=0.5",0.3536,83.22%,"K=64, e16, ¦Ë=0.5",0.3586,83.19%,"K=64, e16, ¦Ë=0.5",0.3222,82.18%
