LaMoFC,,,,,,,,,,,
5,,,10,,,15,,,20,,
Qp,BPFP,mIoU,Qp,BPFP,mIoU,Qp,BPFP,mIoU,Qp,BPFP,mIoU
0.001,0.0615,1.85%,0.001,0.0098,3.36%,0.001,0.0083,2.50%,0.001,0.0677,6.84%
0.01,0.0808,3.07%,0.01,0.1329,3.35%,0.01,0.3209,19.45%,0.002,0.2196,33.05%
0.02,0.1157,2.81%,0.02,0.2896,19.80%,0.02,0.6231,27.47%,0.003,0.2588,23.15%
0.03,0.1676,4.25%,0.03,0.4983,46.70%,0.03,1.0883,72.43%,0.005,0.334,31.99%
0.05,0.2979,9.39%,0.05,0.9582,69.33%,0.05,1.4349,72.21%,0.007,0.5163,29.89%
0.07,0.4368,19.27%,0.07,1.2669,74.48%,0.07,1.6619,73.28%,0.01,0.9477,50.13%
0.1,0.7517,54.44%,0.1,1.4653,81.41%,0.1,1.8647,74.37%,0.1,2.378,48.12%
1,2.2754,68.94%,1,2.8801,81.69%,1,3.2431,70.51%,1,3.7726,53.01%
VTM,,,,,,,,,,,
5,,,10,,,15,,,20,,
Qp,BPFP,mIoU,Qp,BPFP,mIoU,Qp,BPFP,mIoU,Qp,BPFP,mIoU
12,2.595731,81.72%,12,2.79395,81.65%,12,2.904541,81.71%,0,0.795831,79.36%
22,0.829022,81.96%,22,0.986345,81.87%,22,1.128721,81.75%,2,0.470134,75.98%
25,0.452644,80.97%,25,0.482946,81.87%,25,0.59617,81.52%,5,0.180139,66.77%
27,0.291468,78.67%,27,0.28553,79.61%,27,0.350076,79.69%,7,0.091487,55.50%
30,0.140561,60.71%,30,0.122617,55.88%,30,0.149925,61.37%,10,0.027212,28.83%
32,0.081366,19.50%,32,0.066635,21.93%,32,0.074254,19.13%,12,0.013066,15.46%
35,0.034781,3.43%,35,0.028723,3.40%,35,0.023936,3.38%,22,0.001061,2.80%
42,0.003794,2.93%,42,0.00257,3.66%,42,0.001747,3.11%,32,0.000532,0.23%
OPQ,,,,,,,,,,,
5,,,10,,,15,,,20,,
Qp,BPFP,mIoU,Qp,BPFP,mIoU,Qp,BPFP,mIoU,Qp,BPFP,mIoU
"K=4, e32",0.0625,3.36%,"K=4, e32",0.0625,47.77%,"K=4, e32",0.0625,8.05%,"K=4, e32, ¦Ë=0, ep=300",0.0625,8.33%
"K=8, e32",0.0938,36.34%,"K=8, e32",0.0938,71.88%,"K=8, e32",0.0938,36.12%,"K=8, e32",0.0938,24.96%
"K=16, e32",0.125,72.70%,"K=16, e32",0.125,78.12%,"K=16, e32",0.125,60.85%,"K=16, e32, lr=5e-4",0.125,38.72%
"K=64, e32, lr=5e-4",0.1875,79.59%,"K=64, e32, ¦Ë=0.0",0.1875,80.19%,"K=64, e32, lr=5e-4",0.1875,76.73%,"K=32, e32",0.1563,49.34%
"K=256, e32",0.25,81.22%,"K=256, e32, ¦Ë=0.0, lr=5e-4",0.25,80.52%,"K=256, e32",0.25,78.88%,"K=64, e32, ¦Ë=0.0",0.1875,57.85%
"K=64, e16",0.375,81.60%,"K=256, e32",0.25,80.55%,"K=64, e16",0.375,79.14%,"K=256, e32, ¦Ë=0.0, lr=5e-4",0.25,63.88%
"K=256, e16, ¦Ë=0.2",0.5,81.56%,"K=64, e16",0.375,80.91%,"K=256, e16, ¦Ë=0.2",0.5,79.84%,"K=256, e16, ¦Ë=0.2",0.5,67.73%
"K=256, e16",0.5,81.85%,"K=256, e16",0.5,81.15%,"K=256, e16",0.5,79.88%,"K=256, e16",0.5,68.86%
Ours,,,,,,,,,,,
5,,,10,,,15,,,20,,
Qp,BPFP,mIoU,Qp,BPFP,mIoU,Qp,BPFP,mIoU,Qp,BPFP,mIoU
"K=4, e32",0.0565,78.30%,"K=4, e32",0.0597,78.40%,"K=4, e32",0.0607,78.30%,"K=4, e32, ¦Ë=0, ep=300",0.0596,68.31%
"K=8, e32",0.0864,78.90%,"K=8, e32",0.091,80.10%,"K=8, e32",0.092,78.90%,"K=8, e32",0.0942,68.60%
"K=16, e32",0.1172,79.40%,"K=16, e32",0.1224,79.90%,"K=16, e32",0.1227,79.40%,"K=16, e32, lr=5e-4",0.1244,71.00%
"K=64, e32, lr=5e-4",0.1788,79.70%,"K=64, e32, ¦Ë=0.0",0.1803,80.40%,"K=64, e32, lr=5e-4",0.1849,79.70%,"K=32, e32",0.1555,70.70%
"K=256, e32",0.2339,80.00%,"K=256, e32, ¦Ë=0.0, lr=5e-4",0.2389,80.90%,"K=256, e32",0.2472,80.00%,"K=64, e32, ¦Ë=0.0",0.177,72.80%
"K=64, e16",0.3497,80.40%,"K=256, e32",0.2461,80.90%,"K=64, e16",0.3708,80.40%,"K=256, e32, ¦Ë=0.0, lr=5e-4",0.2352,72.60%
"K=256, e16, ¦Ë=0.2",0.3894,80.30%,"K=64, e16",0.3678,81.20%,"K=256, e16, ¦Ë=0.2",0.4469,80.30%,"K=256, e16, ¦Ë=0.2",0.4083,74.60%
"K=256, e16",0.4552,80.30%,"K=256, e16",0.4821,81.10%,"K=256, e16",0.4875,80.30%,"K=256, e16",0.485,75.50%
